Nutrient/Item,Reg_Prov,Sex,Age (years),n,DRI type,Prefix-EN,Percentage,SE,E flag,Ref value,Ref value unit_EN
Calcium,Manitoba,Male,19 years and over,396,EAR,Below,55.1,3.1,,,
Calcium,Manitoba,Female,19 years and over,464,EAR,Below,76.3,2.5,,,
Calcium,Manitoba,Males and females combined,19 years and over,860,EAR,Below,65.6,2,,,
Calcium,Saskatchewan,Male,19 years and over,420,EAR,Below,53.1,4.2,,,
Calcium,Saskatchewan,Female,19 years and over,455,EAR,Below,76.6,3.1,,,
Calcium,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,64.6,2.7,,,
Calcium,Alberta,Male,19 years and over,701,EAR,Below,50.7,2.3,,,
Calcium,Alberta,Female,19 years and over,696,EAR,Below,75.5,2.3,,,
Calcium,Alberta,Males and females combined,19 years and over,1397,EAR,Below,62.5,1.7,,,
Calcium,British Columbia,Male,19 years and over,840,EAR,Below,50.4,2.5,,,
Calcium,British Columbia,Female,19 years and over,830,EAR,Below,81.4,1.8,,,
Calcium,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,66,1.6,,,
Folate,Canada excluding territories,Male,19 years and over,6193,EAR,Below,9.9,1.4,,320,mcg/d (dietary folate equivalents)
Folate,Canada excluding territories,Female,19 years and over,6841,EAR,Below,32.5,1.9,,320,mcg/d (dietary folate equivalents)
Folate,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,21.1,1.1,,320,mcg/d (dietary folate equivalents)
Folate,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,17.9,3,E,320,mcg/d (dietary folate equivalents)
Folate,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,44.2,3.7,,320,mcg/d (dietary folate equivalents)
Folate,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,30.9,2.4,,320,mcg/d (dietary folate equivalents)
Folate,Prince Edward Island,Male,19 years and over,313,EAR,Below,11.3,2.1,E,320,mcg/d (dietary folate equivalents)
Folate,Prince Edward Island,Female,19 years and over,371,EAR,Below,37.2,3.8,,320,mcg/d (dietary folate equivalents)
Folate,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,24.4,2.2,,320,mcg/d (dietary folate equivalents)
Folate,Nova Scotia,Male,19 years and over,422,EAR,Below,9.7,2.2,E,320,mcg/d (dietary folate equivalents)
Folate,Nova Scotia,Female,19 years and over,534,EAR,Below,38.2,3.4,,320,mcg/d (dietary folate equivalents)
Folate,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,24.4,2.1,,320,mcg/d (dietary folate equivalents)
Folate,New Brunswick,Male,19 years and over,371,EAR,Below,11.2,2.5,E,320,mcg/d (dietary folate equivalents)
Folate,New Brunswick,Female,19 years and over,463,EAR,Below,34.6,3.5,,320,mcg/d (dietary folate equivalents)
Folate,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,23,2,,320,mcg/d (dietary folate equivalents)
Folate,Quebec,Male,19 years and over,1009,EAR,Below,5.7,1.2,E,320,mcg/d (dietary folate equivalents)
Folate,Quebec,Female,19 years and over,1113,EAR,Below,20.4,2.4,,320,mcg/d (dietary folate equivalents)
Folate,Quebec,Males and females combined,19 years and over,2122,EAR,Below,13,1.3,,320,mcg/d (dietary folate equivalents)
Folate,Ontario,Male,19 years and over,1321,EAR,Below,11.4,1.8,,320,mcg/d (dietary folate equivalents)
Folate,Ontario,Female,19 years and over,1489,EAR,Below,35.9,2.5,,320,mcg/d (dietary folate equivalents)
Folate,Ontario,Males and females combined,19 years and over,2810,EAR,Below,23.8,1.5,,320,mcg/d (dietary folate equivalents)
Folate,Manitoba,Male,19 years and over,396,EAR,Below,8.4,2.2,E,320,mcg/d (dietary folate equivalents)
Folate,Manitoba,Female,19 years and over,464,EAR,Below,35.2,3.2,,320,mcg/d (dietary folate equivalents)
Folate,Manitoba,Males and females combined,19 years and over,860,EAR,Below,21.6,1.8,,320,mcg/d (dietary folate equivalents)
Folate,Saskatchewan,Male,19 years and over,420,EAR,Below,13.6,2.8,E,320,mcg/d (dietary folate equivalents)
Folate,Saskatchewan,Female,19 years and over,455,EAR,Below,34,3.8,,320,mcg/d (dietary folate equivalents)
Folate,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,23.6,2.4,,320,mcg/d (dietary folate equivalents)
Folate,Alberta,Male,19 years and over,701,EAR,Below,10.9,1.9,E,320,mcg/d (dietary folate equivalents)
Folate,Alberta,Female,19 years and over,696,EAR,Below,39.3,3.3,,320,mcg/d (dietary folate equivalents)
Folate,Alberta,Males and females combined,19 years and over,1397,EAR,Below,24.1,1.9,,320,mcg/d (dietary folate equivalents)
Folate,British Columbia,Male,19 years and over,840,EAR,Below,10.4,1.8,E,320,mcg/d (dietary folate equivalents)
Folate,British Columbia,Female,19 years and over,830,EAR,Below,34.4,2.9,,320,mcg/d (dietary folate equivalents)
Folate,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,22.4,1.7,,320,mcg/d (dietary folate equivalents)
Iron,Canada excluding territories,Male,19 years and over,6193,,Inadequate,1.4,0.3,E,,
Iron,Canada excluding territories,Female,19 years and over,6841,,Inadequate,13.6,0.9,,,
Iron,Canada excluding territories,Males and females combined,19 years and over,13034,,Inadequate,7.4,0.5,,,
Iron,Newfoundland and Labrador,Male,19 years and over,400,,Inadequate,3,0.8,E,,
Iron,Newfoundland and Labrador,Female,19 years and over,424,,Inadequate,16.8,1.7,,,
Iron,Newfoundland and Labrador,Males and females combined,19 years and over,824,,Inadequate,10,0.9,,,
Iron,Prince Edward Island,Male,19 years and over,313,,Inadequate,1.2,0.4,E,,
Iron,Prince Edward Island,Female,19 years and over,370,,Inadequate,13.5,1.4,,,
Iron,Prince Edward Island,Males and females combined,19 years and over,683,,Inadequate,7.4,0.7,,,
Iron,Nova Scotia,Male,19 years and over,422,,Inadequate,,,<3,,
Iron,Nova Scotia,Female,19 years and over,529,,Inadequate,11.5,1.2,,,
Iron,Nova Scotia,Males and females combined,19 years and over,951,,Inadequate,6.3,0.7,,,
Iron,New Brunswick,Male,19 years and over,371,,Inadequate,,,<3,,
Iron,New Brunswick,Female,19 years and over,459,,Inadequate,12,1.3,,,
Iron,New Brunswick,Males and females combined,19 years and over,830,,Inadequate,6.7,0.7,,,
Iron,Quebec,Male,19 years and over,1009,,Inadequate,0.9,0.2,E,,
Iron,Quebec,Female,19 years and over,1111,,Inadequate,9.9,0.9,,,
Iron,Quebec,Males and females combined,19 years and over,2120,,Inadequate,5.4,0.5,,,
Iron,Ontario,Male,19 years and over,1321,,Inadequate,1.7,0.4,E,,
Iron,Ontario,Female,19 years and over,1473,,Inadequate,14.6,1.1,,,
Iron,Ontario,Males and females combined,19 years and over,2794,,Inadequate,8.2,0.6,,,
Iron,Manitoba,Male,19 years and over,396,,Inadequate,1.2,0.3,E,,
Iron,Manitoba,Female,19 years and over,456,,Inadequate,15.6,1.7,,,
Iron,Manitoba,Males and females combined,19 years and over,852,,Inadequate,8.3,0.9,,,
Iron,Saskatchewan,Male,19 years and over,420,,Inadequate,,,<3,,
Iron,Saskatchewan,Female,19 years and over,451,,Inadequate,13.7,1.6,,,
Iron,Saskatchewan,Males and females combined,19 years and over,871,,Inadequate,7.4,0.8,,,
Iron,Alberta,Male,19 years and over,701,,Inadequate,1,0.3,E,,
Iron,Alberta,Female,19 years and over,686,,Inadequate,18.3,1.6,,,
Iron,Alberta,Males and females combined,19 years and over,1387,,Inadequate,9.2,0.8,,,
Iron,British Columbia,Male,19 years and over,840,,Inadequate,1.3,0.3,E,,
Iron,British Columbia,Female,19 years and over,810,,Inadequate,13.3,1.3,,,
Iron,British Columbia,Males and females combined,19 years and over,1650,,Inadequate,7.3,0.7,,,
Magnesium,Canada excluding territories,Male,19 years and over,6193,EAR,Below,56.4,1.4,,,
Magnesium,Canada excluding territories,Female,19 years and over,6841,EAR,Below,49.2,1.4,,,
Magnesium,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,52.8,1,,,
Magnesium,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,77.5,2.8,,,
Magnesium,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,72.4,3.2,,,
Magnesium,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,74.9,2.3,,,
Magnesium,Prince Edward Island,Male,19 years and over,313,EAR,Below,63,3.2,,,
Magnesium,Prince Edward Island,Female,19 years and over,371,EAR,Below,54.9,3.1,,,
Magnesium,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,58.9,2.2,,,
Magnesium,Nova Scotia,Male,19 years and over,422,EAR,Below,54.5,3.3,,,
Magnesium,Nova Scotia,Female,19 years and over,534,EAR,Below,52,2.8,,,
Magnesium,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,53.2,2.1,,,
Magnesium,New Brunswick,Male,19 years and over,371,EAR,Below,61.4,3,,,
Magnesium,New Brunswick,Female,19 years and over,463,EAR,Below,56.3,2.7,,,
Magnesium,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,58.8,2,,,
Magnesium,Quebec,Male,19 years and over,1009,EAR,Below,52.7,2.2,,,
Magnesium,Quebec,Female,19 years and over,1113,EAR,Below,39.8,2.2,,,
Magnesium,Quebec,Males and females combined,19 years and over,2122,EAR,Below,46.3,1.6,,,
Magnesium,Ontario,Male,19 years and over,1321,EAR,Below,58.8,2,,,
Magnesium,Ontario,Female,19 years and over,1489,EAR,Below,52.9,1.8,,,
Magnesium,Ontario,Males and females combined,19 years and over,2810,EAR,Below,55.8,1.5,,,
Magnesium,Manitoba,Male,19 years and over,396,EAR,Below,64.4,2.8,,,
Magnesium,Manitoba,Female,19 years and over,464,EAR,Below,53.6,2.8,,,
Magnesium,Manitoba,Males and females combined,19 years and over,860,EAR,Below,59,1.9,,,
Magnesium,Saskatchewan,Male,19 years and over,420,EAR,Below,65.5,4.1,,,
Magnesium,Saskatchewan,Female,19 years and over,455,EAR,Below,49.6,3.5,,,
Magnesium,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,57.7,2.8,,,
Magnesium,Alberta,Male,19 years and over,701,EAR,Below,54.8,2.6,,,
Magnesium,Alberta,Female,19 years and over,696,EAR,Below,54,3.2,,,
Magnesium,Alberta,Males and females combined,19 years and over,1397,EAR,Below,54.4,2,,,
Magnesium,British Columbia,Male,19 years and over,840,EAR,Below,50.6,2.7,,,
Magnesium,British Columbia,Female,19 years and over,830,EAR,Below,45.5,2.5,,,
Magnesium,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,48,1.9,,,
Percentage of total energy intake from carbohydrates,Canada excluding territories,Male,19 years and over,6193,AMDR,Within,60.2,1.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Canada excluding territories,Female,19 years and over,6841,AMDR,Within,70.3,2,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Canada excluding territories,Males and females combined,19 years and over,13034,AMDR,Within,65.3,1.3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Newfoundland and Labrador,Male,19 years and over,400,AMDR,Within,60.8,3.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Newfoundland and Labrador,Female,19 years and over,426,AMDR,Within,69.4,3.4,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Newfoundland and Labrador,Males and females combined,19 years and over,826,AMDR,Within,64.6,2.3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Prince Edward Island,Male,19 years and over,313,AMDR,Within,58.8,3.3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Prince Edward Island,Female,19 years and over,371,AMDR,Within,74.2,3.1,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Prince Edward Island,Males and females combined,19 years and over,684,AMDR,Within,66.1,2.1,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Nova Scotia,Male,19 years and over,422,AMDR,Within,60.1,3.3,,high,% of total energy intake
Percentage of total energy intake from carbohydrates,Nova Scotia,Female,19 years and over,534,AMDR,Within,68.7,3.2,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Nova Scotia,Males and females combined,19 years and over,956,AMDR,Within,64.2,2.2,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,New Brunswick,Male,19 years and over,371,AMDR,Within,61.2,3.4,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,New Brunswick,Female,19 years and over,463,AMDR,Within,77.7,2.8,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,New Brunswick,Males and females combined,19 years and over,834,AMDR,Within,69,2.1,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Quebec,Male,19 years and over,1009,AMDR,Within,60.3,2.4,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Quebec,Female,19 years and over,1113,AMDR,Within,71.8,2.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Quebec,Males and females combined,19 years and over,2122,AMDR,Within,65.6,1.7,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Ontario,Male,19 years and over,1321,AMDR,Within,62.8,2.3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Ontario,Female,19 years and over,1489,AMDR,Within,71.7,2.5,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Ontario,Males and females combined,19 years and over,2810,AMDR,Within,66.8,1.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Manitoba,Male,19 years and over,396,AMDR,Within,61.6,3.2,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Manitoba,Female,19 years and over,464,AMDR,Within,74.4,3.5,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Manitoba,Males and females combined,19 years and over,860,AMDR,Within,67.5,2.5,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Saskatchewan,Male,19 years and over,420,AMDR,Within,53.9,3.5,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Saskatchewan,Female,19 years and over,455,AMDR,Within,66.2,3.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Saskatchewan,Males and females combined,19 years and over,875,AMDR,Within,59.6,2.5,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Alberta,Male,19 years and over,701,AMDR,Within,57.1,3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Alberta,Female,19 years and over,696,AMDR,Within,66.3,3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Alberta,Males and females combined,19 years and over,1397,AMDR,Within,61.2,2.1,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,British Columbia,Male,19 years and over,840,AMDR,Within,56.5,2.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,British Columbia,Female,19 years and over,830,AMDR,Within,65.9,2.9,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,British Columbia,Males and females combined,19 years and over,1670,AMDR,Within,61.2,1.9,,45 - 65,% of total energy intake
Percentage of total energy intake from fat,Canada excluding territories,Male,19 years and over,6193,AMDR,Within,69.4,1.8,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Canada excluding territories,Female,19 years and over,6841,AMDR,Within,72.1,2.2,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Canada excluding territories,Males and females combined,19 years and over,13034,AMDR,Within,70.7,1.4,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Newfoundland and Labrador,Male,19 years and over,400,AMDR,Within,72.1,3.2,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Newfoundland and Labrador,Female,19 years and over,426,AMDR,Within,70.3,3.6,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Newfoundland and Labrador,Males and females combined,19 years and over,826,AMDR,Within,71.9,2.6,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Prince Edward Island,Male,19 years and over,313,AMDR,Within,55.7,4,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Prince Edward Island,Female,19 years and over,371,AMDR,Within,69.8,3.2,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Prince Edward Island,Males and females combined,19 years and over,684,AMDR,Within,63.3,2.8,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Nova Scotia,Male,19 years and over,422,AMDR,Within,62.7,3.5,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Nova Scotia,Female,19 years and over,534,AMDR,Within,64.7,3.5,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Nova Scotia,Males and females combined,19 years and over,956,AMDR,Within,64.2,2.7,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,New Brunswick,Male,19 years and over,371,AMDR,Within,68.3,4.5,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,New Brunswick,Female,19 years and over,463,AMDR,Within,74.7,3.2,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,New Brunswick,Males and females combined,19 years and over,834,AMDR,Within,72.3,2.8,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Quebec,Male,19 years and over,1009,AMDR,Within,67.8,2.5,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Quebec,Female,19 years and over,1113,AMDR,Within,72.8,2.8,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Quebec,Males and females combined,19 years and over,2122,AMDR,Within,71.1,2,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Ontario,Male,19 years and over,1321,AMDR,Within,70.4,2.4,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Ontario,Female,19 years and over,1489,AMDR,Within,73.9,2.8,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Ontario,Males and females combined,19 years and over,2810,AMDR,Within,72.8,2.2,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Manitoba,Male,19 years and over,396,AMDR,Within,66.1,3.4,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Manitoba,Female,19 years and over,464,AMDR,Within,73.2,3.4,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Manitoba,Males and females combined,19 years and over,860,AMDR,Within,70.2,2.7,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Saskatchewan,Male,19 years and over,420,AMDR,Within,60.6,3.6,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Saskatchewan,Female,19 years and over,455,AMDR,Within,65.8,3.9,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Saskatchewan,Males and females combined,19 years and over,875,AMDR,Within,63.7,2.9,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Alberta,Male,19 years and over,701,AMDR,Within,73,3.3,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Alberta,Female,19 years and over,696,AMDR,Within,66.9,3.3,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,Alberta,Males and females combined,19 years and over,1397,AMDR,Within,70.4,2.5,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,British Columbia,Male,19 years and over,840,AMDR,Within,70.2,2.5,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,British Columbia,Female,19 years and over,830,AMDR,Within,72,2.9,,20 - 35,% of total energy intake
Percentage of total energy intake from fat,British Columbia,Males and females combined,19 years and over,1670,AMDR,Within,71.1,2,,20 - 35,% of total energy intake
Percentage of total energy intake from protein,Canada excluding territories,Male,19 years and over,6193,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Canada excluding territories,Female,19 years and over,6841,AMDR,Within,99.7,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Canada excluding territories,Males and females combined,19 years and over,13034,AMDR,Within,99.8,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Newfoundland and Labrador,Male,19 years and over,400,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Newfoundland and Labrador,Female,19 years and over,426,AMDR,Within,99.8,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Newfoundland and Labrador,Males and females combined,19 years and over,826,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Prince Edward Island,Male,19 years and over,313,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Prince Edward Island,Female,19 years and over,371,AMDR,Within,99.6,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Prince Edward Island,Males and females combined,19 years and over,684,AMDR,Within,99.8,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Nova Scotia,Male,19 years and over,422,AMDR,Within,99.8,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Nova Scotia,Female,19 years and over,534,AMDR,Within,99.6,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Nova Scotia,Males and females combined,19 years and over,956,AMDR,Within,99.7,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,New Brunswick,Male,19 years and over,371,AMDR,Within,99.9,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,New Brunswick,Female,19 years and over,463,AMDR,Within,99.6,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,New Brunswick,Males and females combined,19 years and over,834,AMDR,Within,99.7,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Quebec,Male,19 years and over,1009,AMDR,Within,99.8,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Quebec,Female,19 years and over,1113,AMDR,Within,99.6,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Quebec,Males and females combined,19 years and over,2122,AMDR,Within,99.7,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Ontario,Male,19 years and over,1321,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Ontario,Female,19 years and over,1489,AMDR,Within,99.8,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Ontario,Males and females combined,19 years and over,2810,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Manitoba,Male,19 years and over,396,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Manitoba,Female,19 years and over,464,AMDR,Within,99.5,0.3,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Manitoba,Males and females combined,19 years and over,860,AMDR,Within,99.7,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Saskatchewan,Male,19 years and over,420,AMDR,Within,100,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Saskatchewan,Female,19 years and over,455,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Saskatchewan,Males and females combined,19 years and over,875,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Alberta,Male,19 years and over,701,AMDR,Within,100,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Alberta,Female,19 years and over,696,AMDR,Within,99.7,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,Alberta,Males and females combined,19 years and over,1397,AMDR,Within,99.8,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,British Columbia,Male,19 years and over,840,AMDR,Within,100,0.1,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,British Columbia,Female,19 years and over,830,AMDR,Within,99.8,0.2,,10 - 35,% of total energy intake
Percentage of total energy intake from protein,British Columbia,Males and females combined,19 years and over,1670,AMDR,Within,99.9,0.1,,10 - 35,% of total energy intake
Potassium,Canada excluding territories,Male,19 years and over,6193,AI,Above,29.6,1.2,,3400,mg/d
Potassium,Canada excluding territories,Female,19 years and over,6841,AI,Above,35.7,1.7,,2600,mg/d
Potassium,Canada excluding territories,Males and females combined,19 years and over,13034,AI,Above,32.7,1.1,,,
Potassium,Newfoundland and Labrador,Male,19 years and over,400,AI,Above,20.7,2.6,,3400,mg/d
Potassium,Newfoundland and Labrador,Female,19 years and over,426,AI,Above,22.5,3.3,,2600,mg/d
Potassium,Newfoundland and Labrador,Males and females combined,19 years and over,826,AI,Above,21.6,2.3,,,
Potassium,Prince Edward Island,Male,19 years and over,313,AI,Above,27.5,2.7,,3400,mg/d
Potassium,Prince Edward Island,Female,19 years and over,371,AI,Above,33.2,3.3,,2600,mg/d
Potassium,Prince Edward Island,Males and females combined,19 years and over,684,AI,Above,30.4,2.1,,,
Potassium,Nova Scotia,Male,19 years and over,422,AI,Above,34.1,3,,3400,mg/d
Potassium,Nova Scotia,Female,19 years and over,534,AI,Above,32.9,3.3,,2600,mg/d
Potassium,Nova Scotia,Males and females combined,19 years and over,956,AI,Above,33.5,2.3,,,
Potassium,New Brunswick,Male,19 years and over,371,AI,Above,30,3.1,,3400,mg/d
Potassium,New Brunswick,Female,19 years and over,463,AI,Above,30.3,3,,2600,mg/d
Potassium,New Brunswick,Males and females combined,19 years and over,834,AI,Above,30.2,2.1,,,
Potassium,Quebec,Male,19 years and over,1009,AI,Above,33.8,2.1,,3400,mg/d
Potassium,Quebec,Female,19 years and over,1113,AI,Above,46.7,2.7,,2600,mg/d
Potassium,Quebec,Males and females combined,19 years and over,2122,AI,Above,40.2,1.7,,,
Potassium,Ontario,Male,19 years and over,1321,AI,Above,26.4,1.5,,3400,mg/d
Potassium,Ontario,Female,19 years and over,1489,AI,Above,32,2.3,,2600,mg/d
Potassium,Ontario,Males and females combined,19 years and over,2810,AI,Above,29.2,1.4,,,
Potassium,Manitoba,Male,19 years and over,396,AI,Above,25.2,2.5,,3400,mg/d
Potassium,Manitoba,Female,19 years and over,464,AI,Above,32.7,3.1,,2600,mg/d
Potassium,Manitoba,Males and females combined,19 years and over,860,AI,Above,28.9,2,,,
Potassium,Saskatchewan,Male,19 years and over,420,AI,Above,27.4,3,,3400,mg/d
